,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-3.27680e-02,3.04e+00,9.40e+00,2.80e+00,9.60e+00, 
-3.27600e-02,3.04e+00,9.40e+00,2.80e+00,9.60e+00, 
-3.27520e-02,3.04e+00,9.40e+00,2.80e+00,9.60e+00, 
-3.27440e-02,3.04e+00,9.40e+00,2.80e+00,9.60e+00, 
-3.27360e-02,3.04e+00,9.40e+00,2.80e+00,9.60e+00, 
-3.27280e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.27200e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.27120e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.27040e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.26960e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.26880e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.26800e-02,3.04e+00,9.20e+00,2.80e+00,9.60e+00, 
-3.26720e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.26640e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.26560e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.26480e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.26400e-02,3.04e+00,9.40e+00,3.00e+00,9.60e+00, 
-3.26320e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.26240e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.26160e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.26080e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.26000e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.25920e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.25840e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.25760e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.25680e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.25600e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.25520e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.25440e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.25360e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.25280e-02,3.04e+00,9.20e+00,3.00e+00,9.20e+00, 
-3.25200e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.25120e-02,4.80e-01,9.20e+00,4.00e-01,9.60e+00, 
-3.25040e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.24960e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.24880e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.24800e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.24720e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.24640e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.24560e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.24480e-02,-4.00e-02,9.20e+00,-2.00e-01,9.20e+00, 
-3.24400e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.24320e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.24240e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.24160e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.24080e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.24000e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.23920e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.23840e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.23760e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.23680e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.23600e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.23520e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.23440e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.23360e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.23280e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.23200e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.23120e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.23040e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.22960e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.22880e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.22800e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.22720e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.22640e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.22560e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.22480e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.22400e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.22320e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.22240e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.22160e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.22080e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.22000e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.21920e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.21840e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.21760e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.21680e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.21600e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.21520e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.21440e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.21360e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.21280e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.21200e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.21120e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.21040e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.20960e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.20880e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.20800e-02,-4.00e-02,9.40e+00,-2.00e-01,9.60e+00, 
-3.20720e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.20640e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.20560e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.20480e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.20400e-02,-4.00e-02,9.40e+00,-2.00e-01,9.60e+00, 
-3.20320e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.20240e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.20160e-02,-4.00e-02,9.20e+00,-2.00e-01,9.20e+00, 
-3.20080e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.20000e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.19920e-02,3.08e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.19840e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.19760e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.19680e-02,3.04e+00,9.20e+00,2.80e+00,9.60e+00, 
-3.19600e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.19520e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.19440e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.19360e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.19280e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.19200e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.19120e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.19040e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.18960e-02,3.04e+00,9.20e+00,2.80e+00,9.60e+00, 
-3.18880e-02,3.08e+00,9.20e+00,3.00e+00,9.60e+00, 
